mean_variance	median_variance	nun5	nun20	nun50
"AGAP000172"	2.60635446173317	2.33413100223382	134	432	857
"AGAP000173"	6.21663945608447	5.71931751149506	117	363	679
"AGAP000175"	5.51340192557235	5.10785400835072	121	331	637
"AGAP000177"	1.56249131775525	1.20913478659362	106	290	521
"AGAP000179"	3.9540173600271	3.87490667311131	124	418	831
"AGAP000180"	2.76968970862456	2.61686248626874	135	415	788
"AGAP000181"	8.7707371499945	7.81591814183562	38	97	208
"AGAP000182"	7.81392729046848	6.70502927122165	33	99	213
"AGAP000183"	8.37364246378554	7.63073395445604	39	86	157
"AGAP000184"	8.98047038318069	9.08230713931839	116	377	793
"AGAP000185"	8.62968853678115	7.84537642390157	49	120	191
"AGAP000187"	9.60225335686264	8.78042138841985	37	87	165
"AGAP000188"	1.34414602819615	0.947463957492932	120	338	588
"AGAP000189"	10.5389062454833	8.81273228097336	10	26	60
"AGAP000190"	6.84142391778042	5.96718339384547	71	161	272
"AGAP000191"	7.49134739440274	6.98804804843777	51	141	256
"AGAP000192"	7.86422015855057	7.67035491347107	134	398	765
"AGAP000193"	8.89721955310533	8.12309242515391	59	122	192
"AGAP000194"	8.80317744847184	8.15256804167666	50	107	170
"AGAP000195"	9.80539480434465	8.76630941956967	33	72	131
"AGAP000196"	9.9294157729978	8.56799851752858	17	51	95
"AGAP000198"	10.6371746459616	8.84937175064704	8	26	60
"AGAP000199"	5.50961453224199	5.49788854521123	113	327	643
"AGAP000200"	9.3282794353383	8.34065379598337	27	74	129
"AGAP000201"	8.3818426641922	7.61697401510469	52	126	201
"AGAP000202"	2.42826039832901	2.16960024865952	112	295	480
"AGAP000203"	9.79317917703157	8.86603263261036	53	102	161
"AGAP000204"	8.24657156318834	7.82199090571723	71	154	256
"AGAP000205"	10.4546499394605	8.75422434112116	10	27	65
"AGAP000206"	2.21469165693179	1.81765553521699	128	348	613
"AGAP000207"	2.68606371252153	2.45565425851296	110	351	714
"AGAP000208"	6.55865769640585	5.79672580246941	77	145	210
"AGAP000209"	9.48852203004822	8.29163108636456	22	65	113
"AGAP000210"	7.76541214942775	6.88997236127817	80	192	314
"AGAP000211"	5.49318368703804	5.70198719565759	132	429	868
"AGAP000214"	4.32304244639122	3.93727292515411	79	219	394
"AGAP000215"	7.73221969631151	6.93329725548269	48	130	250
"AGAP000216"	8.85607674937335	8.20385429917769	61	131	214
"AGAP000217"	9.5060600935815	8.55314226052008	24	63	115
"AGAP000218"	5.58983422627065	5.30672902025857	120	318	527
"AGAP000219"	8.63001319419191	7.97142458927216	79	190	293
"AGAP000220"	8.75504156477733	8.21069251218171	83	175	292
"AGAP000222"	10.7794494622836	8.9331701235962	7	25	61
"AGAP000223"	7.65704804929376	6.64296788741564	57	152	292
"AGAP000225"	9.56323917379168	8.5297850622205	36	70	105
"AGAP000226"	8.78763210800329	8.23256670188933	57	122	189
"AGAP000228"	2.58286175048063	2.15384849583059	125	371	667
"AGAP000230"	8.30090161534626	7.37962458813362	78	184	344
"AGAP000232"	10.2504865575866	8.69071667196486	16	35	68
"AGAP000233"	9.58765239055754	8.64370806102949	33	74	131
"AGAP000234"	6.75167437214989	6.79168613042148	108	287	517
"AGAP000235"	1.40956111294709	1.02146599667607	137	423	805
"AGAP000236"	9.82031554002491	8.6571584054669	24	49	92
"AGAP000237"	2.01441420813223	1.66219497205373	140	455	880
"AGAP000238"	9.67160198457246	8.56877654200223	31	64	100
"AGAP000239"	8.96989245170159	8.61376163729187	106	334	648
"AGAP000240"	6.84326163815656	7.25420046750008	119	390	808
"AGAP000241"	8.89426219776877	8.04402189191917	51	99	172
